"동별(1)",동별(2),2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명),계 (명),계 (명),계 (명),한국인,한국인,등록외국인,등록외국인,65세이상고령자 (명)
"동별(1)",동별(2),소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계,소계,남자,여자,남자,여자,남자,여자,소계
"합계",중랑구,431406,215356,216050,213662,213409,1694,2641,34951,432845,216344,216501,214351,213520,1993,2981,37180,429700,214546,215154,212576,212185,1970,2969,39191,432302,216255,216047,214383,213072,1872,2975,41887,428672,214258,214414,212291,211415,1967,2999,43745,423655,211708,211947,210043,209252,1665,2695,46476,421237,210390,210847,208641,208157,1749,2690,48998,423411,211178,212233,209323,209513,1855,2720,51995,418620,208393,210227,206505,207404,1888,2823,54095,415677,206772,208905,204900,206105,1872,2800,55914,412780,205125,207655,203325,204901,1800,2754,59262,408147,202448,205699,200419,202790,2029,2909,61830,402024,199006,203018,196959,200056,2047,2962,65164,399562,197118,202444,195165,199537,1953,2907,69447,391885,192903,198982,191112,196238,1791,2744,71682,390140,191422,198718,189537,195781,1885,2937,74920,387470,189462,198008,187372,194783,2090,3225,78955
"합계",성북구,477358,236767,240591,233505,236468,3262,4123,44604,481419,238344,243075,234730,238627,3614,4448,47242,484457,239463,244994,235755,240273,3708,4721,49417,497692,245659,252033,241927,247005,3732,5028,53243,494422,243639,250783,239726,245445,3913,5338,55213,490639,241162,249477,237474,244383,3688,5094,58142,485347,238228,247119,234573,242016,3655,5103,60499,475961,233009,242952,229205,237501,3804,5451,62066,469560,229183,240377,224980,234295,4203,6082,63281,461617,224504,237113,219951,230404,4553,6709,64015,455407,221103,234304,216556,227499,4547,6805,66251,447687,216495,231192,211904,223964,4591,7228,67782,454744,219099,235645,214437,228213,4662,7432,70850,447056,214658,232398,210810,226343,3848,6055,73770,440142,211150,228992,207578,222950,3572,6042,74709,441984,211246,230738,206961,223436,4285,7302,77475,438168,208682,229486,204171,221431,4511,8055,80414
"합계",강북구,348702,172942,175760,171730,173748,1212,2012,34732,345754,171180,174574,169887,172387,1293,2187,36649,343912,170346,173566,168998,171369,1348,2197,38749,350007,173373,176634,172109,174411,1264,2223,41702,348740,172309,176431,170906,174148,1403,2283,43507,346493,171099,175394,169866,173291,1233,2103,46222,341921,168546,173375,167342,171365,1204,2010,48547,338410,166553,171857,165223,169802,1330,2055,50841,334426,164337,170089,162967,167906,1370,2183,52598,330704,162211,168493,160861,166334,1350,2159,54053,328002,160252,167750,158918,165561,1334,2189,56530,322915,157522,165393,156071,163093,1451,2300,58196,317695,154638,163057,153235,160719,1403,2338,60577,311569,151466,160103,150143,157912,1323,2191,63422,302563,146984,155579,145705,153477,1279,2102,64333,297702,144037,153665,142567,151093,1470,2572,66307,292977,141185,151792,139514,148599,1671,3193,68617
"합계",도봉구,378559,187454,191105,186424,189551,1030,1554,32780,376698,186476,190222,185376,188560,1100,1662,34750,372398,184019,188379,182985,186748,1034,1631,36245,370734,183283,187451,182407,185891,876,1560,38214,367949,181911,186038,181004,184569,907,1469,39810,364454,180023,184431,179194,183076,829,1355,42267,360609,177925,182684,177153,181429,772,1255,44469,355712,175306,180406,174554,179155,752,1251,46471,353241,173804,179437,173029,178213,775,1224,48590,350272,172006,178266,171238,176982,768,1284,50510,346234,169553,176681,168759,175407,794,1274,53488,341649,167043,174606,166160,173253,883,1353,55964,335631,163961,171670,163051,170311,910,1359,58714,327361,159420,167941,158620,166637,800,1304,62059,319373,155221,164152,154487,162879,734,1273,64160,313989,152175,161814,151398,160296,777,1518,66998,309494,149675,159819,148796,158152,879,1667,70436
"합계",노원구,621192,304732,316460,302823,313930,1909,2530,50656,620808,304068,316740,301982,313999,2086,2741,52938,615161,301164,313997,299211,311405,1953,2592,54756,615425,301141,314284,299384,311846,1757,2438,57049,608062,297308,310754,295551,308379,1757,2375,58642,600829,293616,307213,292081,305108,1535,2105,61218,594027,289967,304060,288435,302044,1532,2016,63810,586056,285697,300359,284225,298327,1472,2032,66480,578221,281538,296683,279987,294596,1551,2087,68909,571212,277866,293346,276333,291248,1533,2098,70887,558075,271025,287050,269508,284895,1517,2155,74243,548160,265870,282290,263919,279833,1951,2457,77096,537303,259810,277493,257923,274982,1887,2511,80923,527032,254188,272844,252383,270654,1805,2190,85489,514946,247813,267133,246053,264903,1760,2230,88345,508014,244010,264004,242145,261589,1865,2415,92040,502925,241099,261826,239117,259096,1982,2730,96422
"합계",은평구,463473,229054,234419,227286,231910,1768,2509,43414,463364,228740,234624,226636,231765,2104,2859,46002,470782,231849,238933,229728,236167,2121,2766,48979,492925,242564,250361,240536,247573,2028,2788,53779,498350,244730,253620,242779,250855,1951,2765,56595,505902,248150,257752,246318,255162,1832,2590,60776,508111,248722,259389,246858,256802,1864,2587,64328,503243,245946,257297,243977,254667,1969,2630,67002,502578,244964,257614,242975,254945,1989,2669,69753,495937,241048,254889,239183,252293,1865,2596,71457,491202,238223,252979,236353,250441,1870,2538,74559,487666,235600,252066,233702,249495,1898,2571,77420,484546,233360,251186,231528,248504,1832,2682,80738,484043,231998,252045,230279,249556,1719,2489,85187,477173,228024,249149,226458,246849,1566,2300,87241,470602,224163,246439,222592,244154,1571,2285,89650,470869,223330,247539,221725,245045,1605,2494,93817
"합계",서대문구,357174,174544,182630,170588,177987,3956,4643,36326,340731,166432,174299,162350,169338,4082,4961,36342,336649,164251,172398,160243,167208,4008,5190,37561,333871,162823,171048,158857,165684,3966,5364,39497,324529,158160,166369,154033,160819,4127,5550,40041,324733,157969,166764,154017,161096,3952,5668,42088,324067,157314,166753,153315,160795,3999,5958,43850,320861,155477,165384,151338,159038,4139,6346,45309,323105,156130,166975,152008,160133,4122,6842,46758,325871,156597,169274,152510,161684,4087,7590,47653,325028,155250,169778,151144,161656,4106,8122,49266,323080,153816,169264,149569,160744,4247,8520,50456,323171,153215,169956,148663,160734,4552,9222,52074,322952,153152,169800,149360,162813,3792,6987,54204,315659,149507,166152,145694,159125,3813,7027,54268,319554,150094,169460,145816,160521,4278,8939,55996,320629,149879,170750,145404,160827,4475,9923,58113
"합계",마포구,400392,196196,204196,192383,200267,3813,3929,36160,393241,192243,200998,188327,196792,3916,4206,36811,392313,191300,201013,187324,196689,3976,4324,38327,400464,195145,205319,191034,200831,4111,4488,41457,398627,193539,205088,189243,200250,4296,4838,42610,393576,190514,203062,186452,198192,4062,4870,44283,391098,188874,202224,184774,197082,4100,5142,45758,395830,190717,205113,186177,199262,4540,5851,47360,398351,190957,207394,186495,201148,4462,6246,48598,390887,186668,204219,182162,197730,4506,6489,48303,385783,183248,202535,178939,195976,4309,6559,49615,386359,182573,203786,178240,196837,4333,6949,50833,385925,181303,204622,176891,197144,4412,7478,52429,381858,178977,202881,175150,196740,3827,6141,54331,378686,177233,201453,173504,195401,3729,6052,54582,375585,175006,200579,171043,193595,3963,6984,55914,375162,174073,201089,169990,193707,4083,7382,57895
"합계",양천구,508566,253616,254950,251355,252295,2261,2655,33961,507899,253061,254838,250516,251827,2545,3011,35573,506684,251971,254713,249567,251828,2404,2885,37132,505223,251368,253855,249024,250977,2344,2878,39067,505605,251346,254259,248927,251283,2419,2976,41110,500533,248683,251850,246637,249274,2046,2576,43514,496934,246723,250211,244742,247786,1981,2425,46026,490708,243091,247617,241020,245201,2071,2416,48175,489010,242074,246936,239995,244537,2079,2399,50398,481845,238163,243682,236290,241449,1873,2233,52063,475018,234279,240739,232518,238636,1761,2103,55234,468145,230457,237688,228634,235551,1823,2137,58045,462285,227019,235266,225186,232979,1833,2287,61264,457781,224379,233402,222824,231427,1555,1975,65670,450487,220537,229950,219214,228088,1323,1862,68627,444010,216975,227035,215682,225199,1293,1836,72393,439252,214161,225091,212835,223193,1326,1898,76317
"합계",강서구,566495,279974,286521,276977,283447,2997,3074,42075,583545,288063,295482,284817,292031,3246,3451,45762,579196,285597,293599,282529,290307,3068,3292,47657,580506,286324,294182,283248,290879,3076,3303,50349,575846,283662,292184,280274,288798,3388,3386,52314,573794,282185,291609,278969,288462,3216,3147,55821,575236,282287,292949,279207,289863,3080,3086,59530,591653,289841,301812,286644,298516,3197,3296,64287,595691,291216,304475,287947,301127,3269,3348,67950,602104,293734,308370,290478,305007,3256,3363,71062,608255,296175,312080,292989,308702,3186,3378,76032,603611,293289,310322,290079,306870,3210,3452,79660,598273,289691,308582,286563,305233,3128,3349,84077,585901,282686,303215,280034,300151,2652,3064,88984,579768,278720,301048,276292,298023,2428,3025,92558,574638,275585,299053,273203,295963,2382,3090,97128,568826,272338,296488,269822,293236,2516,3252,102096
"합계",구로구,445095,225414,219681,212665,207877,12749,11804,33021,448696,226732,221964,212461,208334,14271,13630,35608,449613,227173,222440,212953,209014,14220,13426,37465,452667,229189,223478,214032,209704,15157,13774,39389,458908,232056,226852,215474,211994,16582,14858,41992,454478,229130,225348,214982,212538,14148,12810,45252,452168,227694,224474,213251,211713,14443,12761,48027,457131,230091,227040,213213,212618,16878,14422,51187,454604,228201,226403,210440,211652,17761,14751,53719,449600,225411,224189,207667,209884,17744,14305,55705,441559,221386,220173,204003,206739,17383,13434,58794,438486,219949,218537,200417,204080,19532,14457,61801,439371,219602,219769,200987,205677,18615,14092,65779,432488,215424,217064,199673,204735,15751,12329,70198,421163,208873,212290,195537,201217,13336,11073,72611,418418,206632,211786,194274,201041,12358,10745,75890,415651,204715,210936,192341,200064,12374,10872,79984
"합계",금천구,264323,135135,129188,126977,122131,8158,7057,20353,265244,135337,129907,125931,121389,9406,8518,21649,263116,134341,128775,124836,119999,9505,8776,22695,264544,135717,128827,125528,119667,10189,9160,23995,264256,135604,128652,124665,118773,10939,9879,25089,260734,133834,126900,124675,118613,9159,8287,26848,258254,132742,125512,123462,117558,9280,7954,28310,258030,132476,125554,121878,116585,10598,8969,29553,256167,131346,124821,120604,115680,10742,9141,31070,254654,130429,124225,119885,115501,10544,8724,32279,253491,129775,123716,119497,115657,10278,8059,34170,254021,130398,123623,118915,115002,11483,8621,35739,251820,128954,122866,118209,114601,10745,8265,37660,247835,126141,121694,117226,114507,8915,7187,39842,244891,124110,120781,116527,114284,7583,6497,41041,242818,122775,120043,115786,113856,6989,6187,42928,241105,121592,119513,114414,113067,7178,6446,45342
"합계",영등포구,439151,222241,216910,205976,202202,16265,14708,36661,443537,223825,219712,205732,202367,18093,17345,38951,441747,222622,219125,204349,201449,18273,17676,40498,445648,225127,220521,205106,201727,20021,18794,42764,439555,221913,217642,199987,197456,21926,20186,43891,426876,215084,211792,196765,194643,18319,17149,46237,421577,212417,209160,193880,192591,18537,16569,48065,421436,212261,209175,191464,190888,20797,18287,49829,417811,210388,207423,189394,189110,20994,18313,51481,406779,204712,202067,185200,185413,19512,16654,51844,402024,202400,199624,183975,184575,18425,15049,53981,403600,203319,200281,183224,184554,20095,15727,55673,400986,200986,200000,182438,185240,18548,14760,57872,407367,202969,204398,187647,191833,15322,12565,61688,400908,198740,202168,185926,190911,12814,11257,62516,398085,196264,201821,184660,191015,11604,10806,64810,397800,195493,202307,183726,191068,11767,11239,67509
"합계",동작구,414839,205115,209724,200891,205076,4224,4648,36829,410934,202654,208280,197951,202915,4703,5365,38320,407973,200855,207118,196339,201581,4516,5537,39971,413814,203608,210206,198587,204122,5021,6084,42539,413658,203341,210317,197672,203736,5669,6581,44287,416268,204479,211789,199454,206037,5025,5752,47185,421487,207223,214264,202144,208671,5079,5593,50062,419261,205962,213299,200328,207142,5634,6157,52327,412774,202165,210609,196463,204178,5702,6431,53610,413247,201842,211405,196267,204730,5575,6675,55231,408493,198827,209666,193255,202962,5572,6704,57255,409385,198458,210927,192533,203670,5925,7257,59479,408912,197706,211206,191976,203987,5730,7219,62226,401572,193718,207854,189152,202068,4566,5786,65190,394364,190241,204123,186426,199057,3815,5066,66613,390432,188080,202352,184030,196566,4050,5786,68231,389714,187623,202091,183153,195616,4470,6475,70474
