년도,자치구,전체인구,고령자수,학령인구
2016,동작구,413247,55231,55131
2017,동작구,408493,57255,53123
2018,동작구,409385,59479,51733
2019,동작구,408912,62226,50224
2020,동작구,401572,65190,47805
2021,동작구,394364,66613,46281
2022,동작구,390432,68231,44854
2023,동작구,389714,70474,43469
2007,마포구,400392,36160,66629
2008,마포구,393241,36811,64583
2009,마포구,392313,38327,63747
2010,마포구,400464,41457,63925
2011,마포구,398627,42610,62453
2012,마포구,393576,44283,61073
2013,마포구,391098,45758,59499
2014,마포구,395830,47360,58317
2015,마포구,398351,48598,56832
2016,마포구,390887,48303,54321
2017,마포구,385783,49615,52172
2018,마포구,386359,50833,50937
2019,마포구,385925,52429,49257
2020,마포구,381858,54331,47803
2021,마포구,378686,54582,46767
2022,마포구,375585,55914,45000
2023,마포구,375162,57895,43555
2007,서대문구,357174,36326,63862
2008,서대문구,340731,36342,60379
2009,서대문구,336649,37561,58441
2010,서대문구,333871,39497,55987
2011,서대문구,324529,40041,53334
2012,서대문구,324733,42088,52322
2013,서대문구,324067,43850,50389
2014,서대문구,320861,45309,47915
2015,서대문구,323105,46758,46619
2016,서대문구,325871,47653,45480
2017,서대문구,325028,49266,43856
2018,서대문구,323080,50456,42267
2019,서대문구,323171,52074,41049
2020,서대문구,322952,54204,40455
2021,서대문구,315659,54268,38743
2022,서대문구,319554,55996,38352
2023,서대문구,320629,58113,37427
2007,서초구,411951,29054,82195
2008,서초구,412065,30943,81069
2009,서초구,431131,34046,83896
2010,서초구,440021,37131,83618
2011,서초구,439012,39035,82189
2012,서초구,439998,41763,81074
2013,서초구,446541,44674,80777
2014,서초구,454288,47469,81052
2015,서초구,451258,49280,79049
2016,서초구,451477,50984,78009
2017,서초구,445401,53205,76297
2018,서초구,438163,54751,74818
2019,서초구,435107,57136,73427
2020,서초구,429025,60169,72251
2021,서초구,416167,60678,70158
2022,서초구,408451,62347,68078
2023,서초구,412078,65661,67561
2007,성동구,341620,29691,59001
2008,성동구,322679,29525,55140
2009,성동구,316064,30300,53275
2010,성동구,316892,32094,51562
2011,성동구,308767,32767,49222
2012,성동구,306868,34180,47505
2013,성동구,306571,35421,46055
2014,성동구,303891,36684,43862
2015,성동구,305065,38164,42162
2016,성동구,307161,39262,40760
2017,성동구,312711,41273,39952
2018,성동구,316463,42767,38939
2019,성동구,308979,43947,36972
2020,성동구,300505,45603,34901
2021,성동구,292672,46380,33180
2022,성동구,288234,47720,31922
2023,성동구,284766,49462,30538
2007,성북구,477358,44604,85793
2008,성북구,481419,47242,85045
2009,성북구,484457,49417,84540
2010,성북구,497692,53243,84496
2011,성북구,494422,55213,82553
2012,성북구,490639,58142,80829
2013,성북구,485347,60499,78474
2014,성북구,475961,62066,75345
2015,성북구,469560,63281,72632
2016,성북구,461617,64015,69964
2017,성북구,455407,66251,67939
2018,성북구,447687,67782,65608
2019,성북구,454744,70850,64894
2020,성북구,447056,73770,62511
2021,성북구,440142,74709,60420
2022,성북구,441984,77475,59655
2023,성북구,438168,80414,57651
2007,송파구,630691,41787,131797
2008,송파구,676580,46934,136867
2009,송파구,689296,50067,136497
2010,송파구,693144,53156,133701
2011,송파구,690466,55456,129799
2012,송파구,680150,58490,124931
2013,송파구,674955,61745,120481
2014,송파구,671794,65025,116032
2015,송파구,667480,68292,111411
2016,송파구,664946,71064,106989
2017,송파구,671173,76582,104781
2018,송파구,673507,81364,102100
2019,송파구,682741,87334,100433
2020,송파구,673926,93483,97591
2021,송파구,663965,97691,94766
2022,송파구,664514,103573,93245
2023,송파구,660025,108894,90659
2007,양천구,508566,33961,119605
2008,양천구,507899,35573,117773
2009,양천구,506684,37132,116316
2010,양천구,505223,39067,113428
2011,양천구,505605,41110,110801
2012,양천구,500533,43514,107022
2013,양천구,496934,46026,103289
2014,양천구,490708,48175,98769
2015,양천구,489010,50398,95292
2016,양천구,481845,52063,91135
2017,양천구,475018,55234,87475
2018,양천구,468145,58045,84261
2019,양천구,462285,61264,80988
2020,양천구,457781,65670,78675
2021,양천구,450487,68627,75984
2022,양천구,444010,72393,72896
2023,양천구,439252,76317,70639
2007,영등포구,439151,36661,71378
2008,영등포구,443537,38951,69399
2009,영등포구,441747,40498,67515
2010,영등포구,445648,42764,65287
2011,영등포구,439555,43891,61984
2012,영등포구,426876,46237,59320
2013,영등포구,421577,48065,56435
2014,영등포구,421436,49829,53606
2015,영등포구,417811,51481,50836
2016,영등포구,406779,51844,47925
2017,영등포구,402024,53981,45632
2018,영등포구,403600,55673,43924
2019,영등포구,400986,57872,42181
2020,영등포구,407367,61688,41984
2021,영등포구,400908,62516,41124
2022,영등포구,398085,64810,39982
2023,영등포구,397800,67509,38312
2007,용산구,248362,26039,39233
2008,용산구,251043,27167,38863
2009,용산구,251200,28167,38078
2010,용산구,257143,30996,37318
2011,용산구,259288,31837,37007
2012,용산구,255294,33027,35875
2013,용산구,251925,34017,34734
2014,용산구,249914,34896,33188
2015,용산구,247909,35715,31886
2016,용산구,245102,35915,30368
2017,용산구,244444,36882,29035
2018,용산구,245090,37640,28164
2019,용산구,245185,38791,27146
2020,용산구,244645,40247,26389
2021,용산구,237285,39070,24889
2022,용산구,233284,39037,23667
2023,용산구,227106,39747,22283
2007,은평구,463473,43414,88604
2008,은평구,463364,46002,87493
2009,은평구,470782,48979,87261
2010,은평구,492925,53779,88442
2011,은평구,498350,56595,87297
2012,은평구,505902,60776,86486
2013,은평구,508111,64328,84399
2014,은평구,503243,67002,80954
2015,은평구,502578,69753,78062
2016,은평구,495937,71457,74909
2017,은평구,491202,74559,71871
2018,은평구,487666,77420,68904
2019,은평구,484546,80738,65623
2020,은평구,484043,85187,63192
2021,은평구,477173,87241,60638
2022,은평구,470602,89650,57894
2023,은평구,470869,93817,56104
2007,종로구,173843,19127,31236
2008,종로구,179754,20162,31500
2009,종로구,177543,20753,30291
2010,종로구,179362,22458,29164
2011,종로구,177419,22939,28146
2012,종로구,173148,23868,26649
2013,종로구,167867,23997,25113
2014,종로구,165344,24537,23875
2015,종로구,163822,24892,22731
2016,종로구,161922,25091,21757
2017,종로구,164257,26182,21101
2018,종로구,163026,26742,20289
2019,종로구,161869,27519,19371
2020,종로구,158996,28507,18320
2021,종로구,153789,27818,17345
2022,종로구,152211,27958,16450
2023,종로구,150453,28764,15617
2007,중구,137435,14907,21312
2008,중구,138811,15427,20960
2009,중구,137861,16008,20192
2010,중구,141200,17504,19628
2011,중구,141567,18099,19135
2012,중구,140807,18875,18331
2013,중구,137990,19346,17356
2014,중구,136227,19960,16090
2015,중구,134329,20302,15075
2016,중구,134409,20606,14378
2017,중구,134593,21384,13839
2018,중구,135633,22005,13310
2019,중구,136488,23275,12831
2020,중구,134635,24495,12271
2021,중구,131787,24392,11607
2022,중구,130785,25055,11003
2023,중구,131793,25920,10600
2007,중랑구,431406,34951,84030
2008,중랑구,432845,37180,81439
2009,중랑구,429700,39191,78659
2010,중랑구,432302,41887,75870
2011,중랑구,428672,43745,72755
2012,중랑구,423655,46476,69419
2013,중랑구,421237,48998,66226
2014,중랑구,423411,51995,63192
2015,중랑구,418620,54095,59686
2016,중랑구,415677,55914,56501
2017,중랑구,412780,59262,53522
2018,중랑구,408147,61830,50632
2019,중랑구,402024,65164,47568
2020,중랑구,399562,69447,45110
2021,중랑구,391885,71682,42708
2022,중랑구,390140,74920,40753
2023,중랑구,387470,78955,38871
