동,x,y,addr,src
신대방동,126.913238928373,37.4910758945875,서울 동작구 신대방동,keyword
흑석동,126.962747565182,37.5105419834425,서울 동작구 흑석동 141-2,keyword
공덕동,126.953474222473,37.5448632598916,서울 마포구 공덕동 256-10,keyword
노고산동,126.93599858704168,37.55500122359755,서울 마포구 노고산동 57-1,keyword
대흥동,126.938744797594,37.5514518477117,서울 마포구 신수동 1-1,keyword
도화동,126.950678989353,37.5418023314668,서울 마포구 도화동 169-3,keyword
마포동,126.94436944325074,37.537435984833536,서울 마포구 마포동 450,keyword
상수동,126.924201253317,37.5507442326996,서울 마포구 상수동 88-23,keyword
상암동,126.885873425403,37.563816605896,서울 마포구 상암동 482-49,keyword
서교동,126.923580878826,37.5553965854703,서울 마포구 서교동 348-78,keyword
성산동,126.896211243867,37.5650560057921,서울 마포구 성산동 531,keyword
신공덕동,126.95375182689,37.5424342746309,서울 마포구 신공덕동 173,keyword
신수동,126.938744797594,37.5514518477117,서울 마포구 신수동 1-1,keyword
신정동,126.86186596999,37.5280222216231,서울 양천구 신정동,keyword
아현동,126.962301650028,37.5515590263545,서울 마포구 아현동 393-35,keyword
동교동,126.926701922993,37.5568320510154,서울 마포구 동교동 170-12,keyword
망원동,126.905914457472,37.5536575185624,서울 마포구 망원동,keyword
염리동,126.946105239865,37.5419643145171,서울 마포구 염리동 169,keyword
용강동,126.946105239865,37.5419643145171,서울 마포구 염리동 169,keyword
중동,126.90378388072268,37.570048528961756,서울 마포구 중동 64-25,keyword
창전동,126.92952030573056,37.554094734718234,서울 마포구 창전동 6,keyword
하중동,126.92812246055149,37.54485415372522,서울 마포구 하중동 101,keyword
합정동,126.904516007896,37.5498433728965,서울 마포구 합정동 457-1,keyword
남가좌동,126.916143363441,37.5693281488407,서울 서대문구 남가좌동 110-4,keyword
냉천동,126.96443532198145,37.567248748966584,서울 서대문구 냉천동 20-1,keyword
북가좌동,126.906234509821,37.5800209041095,서울 서대문구 북가좌동,keyword
연남동,126.926725005048,37.5621542536479,서울 마포구 연남동 227-8,keyword
토정동,126.94126192193096,37.53955273133404,서울 마포구 토정동 138,keyword
현석동,126.932854207846,37.5428792457638,서울 마포구 현석동 220,keyword
대현동,126.945625246085,37.5578523000415,서울 서대문구 대현동,keyword
연희동,126.93755129533662,37.580786747178536,서울 서대문구 연희동 170-181,keyword
영천동,126.96266831410814,37.56970341646108,서울 서대문구 영천동 341-10,keyword
충정로3가,126.962595355013,37.5594131157486,서울 서대문구 충정로3가 414,keyword
현저동,126.959542648447,37.5724504220421,서울 서대문구 현저동 101,keyword
홍은동,126.94698432423915,37.60759496019467,서울 서대문구 홍은동,keyword
홍제동,126.952622379496,37.5963205618103,서울 서대문구 홍제동,keyword
북아현동,126.95181139677605,37.570313061915385,서울 서대문구 북아현동 1-1623,keyword
창천동,126.93667142222,37.5569792757261,서울 서대문구 창천동,keyword
천연동,126.959542648447,37.5724504220421,서울 서대문구 현저동 101,keyword
충정로2가,126.96463279594902,37.563752042563216,서울 서대문구 충정로2가 191,keyword
합동,126.96500407031238,37.56127981875314,서울 서대문구 합동 30,keyword
내곡동,127.082087774919,37.4653644311783,서울 서초구 내곡동 1-3079,keyword
반포동,126.989929422809,37.5080210111994,서울 서초구 반포동 137-41,keyword
방배동,126.986109104063,37.4944226421959,서울 서초구 방배동 767-27,keyword
서초동,127.008035882195,37.4764030184701,서울 서초구 서초동 산 150-123,keyword
신원동,126.9284546968375,37.481335379734006,서울 관악구 신림동 1695,keyword
우면동,127.00864686779337,37.47087527804635,서울 서초구 우면동 산 36,keyword
잠원동,127.01183263413,37.5219197329404,서울 서초구 잠원동 147-1,keyword
양재동,127.040292609639,37.4766739327213,서울 서초구 양재동 96-9,keyword
금호동1가,127.02836489455872,37.553136582023996,서울 성동구 금호동1가 산 37-1,keyword
금호동2가,127.01657149423144,37.55327667884426,서울 성동구 금호동2가 1209-2,keyword
금호동3가,127.014792026551,37.5510802817194,서울 성동구 금호동3가 산 2-1,keyword
성수동1가,127.043028992489,37.5464440372535,서울 성동구 성수동1가 668-11,keyword
