자치구,년도,학령인구
마포구,2019,49257
양천구,2019,80988
강서구,2019,78468
구로구,2019,53007
금천구,2019,26592
영등포구,2019,42181
동작구,2019,50224
관악구,2019,53111
서초구,2019,73427
강남구,2019,93164
송파구,2019,100433
강동구,2019,62215
종로구,2020,18320
중구,2020,12271
용산구,2020,26389
성동구,2020,34901
광진구,2020,43720
동대문구,2020,41477
중랑구,2020,45110
성북구,2020,62511
강북구,2020,36543
도봉구,2020,42121
노원구,2020,83898
은평구,2020,63192
서대문구,2020,40455
마포구,2020,47803
양천구,2020,78675
강서구,2020,74597
구로구,2020,50854
금천구,2020,24783
영등포구,2020,41984
동작구,2020,47805
관악구,2020,49940
서초구,2020,72251
강남구,2020,91582
송파구,2020,97591
강동구,2020,64600
종로구,2021,17345
중구,2021,11607
용산구,2021,24889
성동구,2021,33180
광진구,2021,41372
동대문구,2021,40069
중랑구,2021,42708
성북구,2021,60420
강북구,2021,34250
도봉구,2021,39714
노원구,2021,79363
은평구,2021,60638
서대문구,2021,38743
마포구,2021,46767
양천구,2021,75984
강서구,2021,72226
구로구,2021,48803
금천구,2021,23502
영등포구,2021,41124
동작구,2021,46281
관악구,2021,47099
서초구,2021,70158
강남구,2021,90527
송파구,2021,94766
강동구,2021,64482
종로구,2022,16450
중구,2022,11003
용산구,2022,23667
성동구,2022,31922
광진구,2022,39503
동대문구,2022,39347
중랑구,2022,40753
성북구,2022,59655
강북구,2022,32268
도봉구,2022,37463
노원구,2022,75715
은평구,2022,57894
서대문구,2022,38352
마포구,2022,45000
양천구,2022,72896
강서구,2022,69186
구로구,2022,46698
금천구,2022,22040
영등포구,2022,39982
동작구,2022,44854
관악구,2022,44921
서초구,2022,68078
강남구,2022,88613
송파구,2022,93245
강동구,2022,62834
종로구,2023,15617
중구,2023,10600
용산구,2023,22283
성동구,2023,30538
광진구,2023,38034
동대문구,2023,39125
중랑구,2023,38871
성북구,2023,57651
강북구,2023,30668
도봉구,2023,35359
노원구,2023,72393
은평구,2023,56104
서대문구,2023,37427
마포구,2023,43555
양천구,2023,70639
강서구,2023,66373
구로구,2023,44913
금천구,2023,20851
영등포구,2023,38312
동작구,2023,43469
관악구,2023,42418
서초구,2023,67561
강남구,2023,90393
송파구,2023,90659
강동구,2023,61726
종로구,2024,14929
중구,2024,10077
용산구,2024,20957
성동구,2024,29451
광진구,2024,36609
동대문구,2024,38098
중랑구,2024,37401
성북구,2024,55689
강북구,2024,29226
도봉구,2024,33636
노원구,2024,69487
은평구,2024,53446
서대문구,2024,36352
마포구,2024,42525
양천구,2024,68779
강서구,2024,63759
구로구,2024,43196
금천구,2024,19729
영등포구,2024,37143
동작구,2024,41728
관악구,2024,40359
서초구,2024,67173
강남구,2024,92481
송파구,2024,88755
강동구,2024,63748
