구,년도,전체인구,고령자수
서초구,2010,440021,37131
서초구,2011,439012,39035
서초구,2012,439998,41763
서초구,2013,446541,44674
서초구,2014,454288,47469
서초구,2015,451258,49280
서초구,2016,451477,50984
서초구,2017,445401,53205
서초구,2018,438163,54751
서초구,2019,435107,57136
서초구,2020,429025,60169
서초구,2021,416167,60678
서초구,2022,408451,62347
서초구,2023,412078,65661
성동구,2007,341620,29691
성동구,2008,322679,29525
성동구,2009,316064,30300
성동구,2010,316892,32094
성동구,2011,308767,32767
성동구,2012,306868,34180
성동구,2013,306571,35421
성동구,2014,303891,36684
성동구,2015,305065,38164
성동구,2016,307161,39262
성동구,2017,312711,41273
성동구,2018,316463,42767
성동구,2019,308979,43947
성동구,2020,300505,45603
성동구,2021,292672,46380
성동구,2022,288234,47720
성동구,2023,284766,49462
성북구,2007,477358,44604
성북구,2008,481419,47242
성북구,2009,484457,49417
성북구,2010,497692,53243
성북구,2011,494422,55213
성북구,2012,490639,58142
성북구,2013,485347,60499
성북구,2014,475961,62066
성북구,2015,469560,63281
성북구,2016,461617,64015
성북구,2017,455407,66251
성북구,2018,447687,67782
성북구,2019,454744,70850
성북구,2020,447056,73770
성북구,2021,440142,74709
성북구,2022,441984,77475
성북구,2023,438168,80414
송파구,2007,630691,41787
송파구,2008,676580,46934
송파구,2009,689296,50067
송파구,2010,693144,53156
송파구,2011,690466,55456
송파구,2012,680150,58490
송파구,2013,674955,61745
송파구,2014,671794,65025
송파구,2015,667480,68292
송파구,2016,664946,71064
송파구,2017,671173,76582
송파구,2018,673507,81364
송파구,2019,682741,87334
송파구,2020,673926,93483
송파구,2021,663965,97691
송파구,2022,664514,103573
송파구,2023,660025,108894
양천구,2007,508566,33961
양천구,2008,507899,35573
양천구,2009,506684,37132
양천구,2010,505223,39067
양천구,2011,505605,41110
양천구,2012,500533,43514
양천구,2013,496934,46026
양천구,2014,490708,48175
양천구,2015,489010,50398
양천구,2016,481845,52063
양천구,2017,475018,55234
양천구,2018,468145,58045
양천구,2019,462285,61264
양천구,2020,457781,65670
양천구,2021,450487,68627
양천구,2022,444010,72393
양천구,2023,439252,76317
영등포구,2007,439151,36661
영등포구,2008,443537,38951
영등포구,2009,441747,40498
영등포구,2010,445648,42764
영등포구,2011,439555,43891
영등포구,2012,426876,46237
영등포구,2013,421577,48065
영등포구,2014,421436,49829
영등포구,2015,417811,51481
영등포구,2016,406779,51844
영등포구,2017,402024,53981
영등포구,2018,403600,55673
영등포구,2019,400986,57872
영등포구,2020,407367,61688
영등포구,2021,400908,62516
영등포구,2022,398085,64810
영등포구,2023,397800,67509
용산구,2007,248362,26039
용산구,2008,251043,27167
용산구,2009,251200,28167
용산구,2010,257143,30996
용산구,2011,259288,31837
용산구,2012,255294,33027
용산구,2013,251925,34017
용산구,2014,249914,34896
